date,user_id,colaborador,actividad_id,actividad_titulo,actividad_dueStart,actividad_dueEnd,overlap_9_17_min,revisiones_count,minutos_total
14/01/2026,190d872b594c814083870002cfbae32d,andrade,2e7b4f3243ad8128b7b9e9ead9419fa9,00act aandr wwebs myaindustrial.mx eener,2026-01-14T12:00:00.000-06:00,2026-01-14T13:00:00.000-06:00,60,0,0
14/01/2026,190d872b594c814083870002cfbae32d,andrade,2e7b4f3243ad8176b017c186cf75c578,00act aandr wwebs mallacerc.com eener,2026-01-14T14:30:00.000-06:00,2026-01-14T15:30:00.000-06:00,60,0,0
14/01/2026,190d872b594c8187957e00026ec187e2,brian,2dfb4f3243ad81acadcac5c0640b333d,00act bbria aaads calderasyquemadorescqt.com.mx eener,2026-01-14T15:30:00.000-06:00,2026-01-14T16:30:00.000-06:00,60,2,60
14/01/2026,190d872b594c8187957e00026ec187e2,brian,2e6b4f3243ad81db9c89faa87a0d9d70,00act bbria wwebs asesoriasuanl.com eener,2026-01-14T10:30:00.000-06:00,2026-01-14T11:30:00.000-06:00,60,2,50
14/01/2026,190d872b594c8187957e00026ec187e2,brian,2d9b4f3243ad81759677c3c3ee98ccf0,00act bbria ssseo manikur.mx eener,2026-01-14T14:30:00.000-06:00,2026-01-14T15:30:00.000-06:00,60,4,105
14/01/2026,190d872b594c8127a8d200028dfef4e7,John,2a2b4f3243ad8145b686e742d3fdf42b,sg correos semoli.mx Migracion 00act Aandr mmigr ssiti ssite uuuno hhost ooctu Migrar Siteground 2 a,2026-01-14T12:30:00.000-06:00,2026-01-14T13:00:00.000-06:00,30,0,0
14/01/2026,190d872b594c8127a8d200028dfef4e7,John,29bb4f3243ad80ee9e73c7a9ac0c3ac1,sg correos asesoriasuanl.com 00act  jjohn mmigr ssiti ssite uuuno hhost ooctu Migrar Siteground 1 a H,2026-01-14T12:00:00.000-06:00,2026-01-14T12:30:00.000-06:00,30,0,0
14/01/2026,190d872b594c8127a8d200028dfef4e7,John,2a9b4f3243ad81528a2dcca3262344dd,NO MIGRAR - extintoresjovi.com 00act  jjohn mmigr ssiti ssite uuuno hhost ooctu Mig,2026-01-14T16:00:00.000+00:00,2026-01-14T16:30:00.000+00:00,30,0,0
14/01/2026,190d872b594c81d583870002b754e7db,karla,2e8b4f3243ad8175a94ecc4ac93ad7b9,"00act kkarl Crear propuesta y Plan de trabajo Mansynergy.com.mx para Seo, Ads y LinkedIn",2026-01-14T15:30:00.000-06:00,2026-01-14T16:30:00.000-06:00,60,0,0
14/01/2026,190d872b594c810ba9760002dfe6598d,yael,2a8b4f3243ad81e78908f087d88a08f5,00act yyael wwebs eecon .com nnov Econoficinas,2026-01-14T12:30:00.000-06:00,2026-01-14T14:00:00.000-06:00,90,0,0
14/01/2026,190d872b594c810ba9760002dfe6598d,yael,2e9b4f3243ad81bf89d0cdcf6ef3b0cc,00act yyael  wwebs  mallacerc.com eener,2026-01-14T08:30:00.000-06:00,2026-01-14T09:30:00.000-06:00,30,0,0
